Dates,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),pH,Phaeo-pigments (μg/L),Salinity (psu),Secchi Disc Depth (M),Silica (mg/L),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L)
2020/2/27,0.6,0.2,1.2,84,6.4,4000,7300,0.093,0.012,0.018,8.1,0.6,32.4,2.5,1.1,8.8,19,0.31,2.5,0.008,1.4
2020/3/11,0.7,0.12,1.9,80,6.1,260,420,0.052,0.009,0.019,7.7,1.6,32.5,2.3,0.79,3.8,19.5,0.18,1.5,0.002,0.8
2020/3/11,0.7,0.12,1.9,85,6.4,480,860,0.052,0.009,0.018,7.8,1.5,32.7,2.3,0.81,3.9,19.6,0.18,1.8,0.002,1
2020/3/11,1,0.11,1.7,87,6.6,460,840,0.074,0.01,0.026,7.9,1.4,32.7,2.3,0.92,3.8,19.6,0.19,1.8,0.003,0.9
2020/4/24,0.7,0.2,0.5,86,6.2,430,790,0.12,0.011,0.007,7.6,1.5,32.1,2.8,0.44,11,22.2,0.33,3.8,0.003,2
2020/5/13,0.9,0.19,3,90,6.2,250,980,0.13,0.012,0.006,7.8,1.4,32.1,2.4,0.82,11,24.8,0.33,3,0.005,2.4
2020/5/13,0.8,0.17,2.4,71,4.9,320,1000,0.12,0.011,0.006,7.8,1.8,32.3,2.4,0.79,9.5,24.7,0.3,2.6,0.005,1.7
2020/5/13,0.8,0.16,1.9,75,5.2,380,970,0.11,0.012,0.006,7.8,2.4,33,2.4,0.78,8.5,24.2,0.28,3.5,0.004,1.6
2020/6/8,0.6,0.11,0.5,63,4.4,1400,5400,0.36,0.089,0.01,7.7,1.3,30.2,1.8,2.1,6.6,25.2,0.56,3.4,0.003,1.6
2020/7/17,2.6,0.049,21,110,7.5,100,220,0.38,0.036,0.009,8.4,3.2,24.6,2.2,1.3,4.1,27.5,0.47,1.7,0.006,1.7
2020/7/17,2.1,0.2,13,100,6.9,6700,21000,0.27,0.037,0.012,8.1,4.6,25.6,2.2,1.2,3.8,27,0.51,1.6,0.013,1.3
2020/7/17,1.4,0.18,12,30,4.7,2800,7500,0.24,0.034,0.013,7.9,4.3,33.1,2.2,1.4,5.5,23.1,0.45,4,0.006,1.7
2020/8/13,1.2,0.1,6,92,6.2,180,480,0.23,0.041,0.005,8.1,1,26.1,2.8,0.33,6.7,28.7,0.37,2.1,0.007,1.9
2020/8/13,1.2,0.098,5.3,87,5.8,480,1100,0.23,0.041,0.006,8,1.6,26.3,2.8,0.35,7.8,28.6,0.37,2.4,0.005,1.8
2020/8/13,0.7,0.17,3.8,51,3.4,370,710,0.2,0.028,0.022,7.7,2.3,30.8,2.8,1.1,12,26.8,0.4,3.6,0.004,3
2020/9/21,0.8,0.16,0.6,65,4.2,820,1000,0.15,0.025,0.028,7.8,0.4,30.4,2.6,1.5,13,28.7,0.34,4.7,0.006,2.8
2020/9/21,0.8,0.15,0.6,71,4.6,470,750,0.13,0.024,0.027,7.9,0.2,30.8,2.6,1.1,14,28.8,0.3,5,0.006,2
2020/10/5,0.5,0.19,1,73,4.7,580,1300,0.12,0.022,0.027,7.9,0.8,30.9,2,1.1,3.7,29,0.33,4.3,0.009,0.9
2020/10/5,0.5,0.19,0.9,73,4.7,900,3700,0.12,0.023,0.028,7.9,0.6,31.3,2,1.1,3.2,29,0.33,4.8,0.009,0.8
2020/11/4,0.5,0.048,3.5,84,5.8,90,260,0.093,0.029,0.02,7.8,0.9,33.1,2.7,0.95,2.5,24.5,0.17,3.6,0.001,1.3
2020/11/4,0.5,0.045,2.2,90,6.2,110,190,0.093,0.037,0.019,7.8,1.8,33.1,2.7,0.95,2.6,24.5,0.18,3.9,0.001,0.6
2020/12/3,0.9,0.06,3.2,87,6.3,120,250,0.13,0.018,0.016,7.8,1,32,2.5,0.3,10,22.3,0.21,4,0.001,1.7
2020/12/3,0.8,0.054,3.6,94,6.7,110,250,0.13,0.019,0.016,7.8,1.6,32,2.5,0.33,11,22.5,0.2,4.6,0.001,2
2020/12/3,0.8,0.057,3.8,95,6.8,90,220,0.12,0.017,0.016,7.8,1,32.1,2.5,0.32,10,22.4,0.19,4.4,0.001,2.1
2020/1/2,0.3,0.15,0.2,74,5.6,230,1100,0.17,0.018,0.035,8,1,32.1,2.5,1.4,4.6,19.5,0.34,2.6,0.004,0.8
2020/1/2,0.3,0.15,0.3,83,6.3,410,2400,0.17,0.017,0.034,8,0.9,32.3,2.5,1.2,5.2,19.8,0.34,2.9,0.004,0.8
2020/3/11,1.5,0.18,2.4,84,6.3,3000,6100,0.074,0.01,0.024,7.9,0.6,32.6,2.2,0.92,4.3,19.8,0.26,2.3,0.004,0.8
2020/3/11,1.1,0.15,1.4,84,6.4,910,1400,0.065,0.01,0.024,8,1.9,32.6,2.2,0.87,4.4,19.7,0.23,2.1,0.004,0.8
2020/5/13,1.2,0.21,4.5,88,6.1,120,490,0.15,0.013,0.006,7.8,2.6,31.8,2.4,0.84,8.6,25.1,0.37,2.9,0.006,2.6
2020/5/13,1,0.16,1.6,75,5.2,430,1500,0.11,0.011,0.006,7.8,1.9,33,2.4,0.74,7.4,24.2,0.28,4.7,0.004,1.7
2020/5/13,1,0.18,2.4,75,5.3,280,980,0.13,0.011,0.01,7.8,2.2,33.1,2.4,0.8,11,24.1,0.32,5.6,0.005,2.4
2020/6/8,0.7,0.12,0.3,70,4.8,1100,2900,0.43,0.099,0.012,7.7,0.9,25.6,2.3,2.6,6.6,26.6,0.65,2.1,0.003,1.2
2020/7/17,2.7,0.043,20,93,6.4,190,430,0.38,0.037,0.01,8.5,3.6,24,2.2,1.3,5,27.8,0.46,1.9,0.007,2.2
2020/7/17,2,0.19,15,95,6.6,16000,40000,0.27,0.04,0.007,8,3.6,30.2,2.2,1.2,4.7,24.7,0.5,1.9,0.008,2
2020/7/17,2.1,0.14,16,29,4.1,21000,55000,0.31,0.036,0.009,7.9,4.3,33.2,2.2,1.2,4.1,23,0.49,4.8,0.004,1.8
2020/9/21,0.9,0.16,0.5,63,4.1,800,2700,0.16,0.027,0.026,7.8,0.8,30.3,2.3,1.6,12,28.7,0.35,7,0.006,2.4
2020/9/21,0.8,0.16,0.3,69,4.5,1000,3100,0.14,0.027,0.028,7.8,1,30.5,2.3,1.2,13,28.7,0.33,5.3,0.006,2.2
2020/9/21,0.6,0.16,0.3,73,4.7,610,1100,0.13,0.024,0.027,7.9,1.1,30.8,2.3,1.1,14,28.8,0.31,5.7,0.007,1.8
2020/10/5,0.5,0.22,0.7,68,4.4,610,1400,0.13,0.026,0.027,7.9,0.8,30.6,2.5,1.1,4,29.1,0.38,4.7,0.011,1
2020/10/5,0.4,0.23,0.8,71,4.6,1600,3400,0.13,0.025,0.028,7.9,0.2,30.7,2.5,1.2,4.2,29.1,0.39,4.8,0.011,0.8
2020/10/5,0.6,0.22,0.6,69,4.5,1300,2700,0.12,0.025,0.033,7.9,0.4,31.1,2.5,1.2,4.6,29,0.37,5.8,0.011,1
2020/11/4,0.6,0.058,3.4,87,6,90,210,0.096,0.03,0.022,7.8,1,33.1,3.8,0.96,2.5,24.7,0.18,3.2,0.002,0.9
2020/11/4,0.5,0.069,2.7,89,6.2,130,340,0.095,0.031,0.022,7.8,1.3,33.1,3.8,0.91,2.5,24.7,0.2,3.4,0.002,0.7
2020/12/3,0.9,0.065,3.4,88,6.3,40,80,0.13,0.018,0.017,7.8,1.1,32,2.9,0.31,9,22.4,0.21,4,0.002,1.3
2020/12/3,0.9,0.061,3.3,93,6.7,60,150,0.13,0.018,0.016,7.8,1,32,2.9,0.33,12,22.6,0.21,4.2,0.001,2
2020/12/3,0.9,0.066,4.3,96,6.9,70,130,0.13,0.019,0.017,7.8,1.4,32,2.9,0.33,12,22.6,0.22,4.2,0.002,2.3
2020/1/2,0.4,0.16,0.3,75,5.7,2800,7300,0.17,0.017,0.035,8,0.8,32.1,2.5,1.4,4.3,19.6,0.35,2.6,0.005,0.6
2020/3/11,1.1,0.21,1.3,82,6.2,3000,5000,0.086,0.011,0.027,7.5,0.7,32.3,2,1,4.8,19.9,0.31,2.6,0.002,0.8
2020/3/11,1.4,0.19,1.1,78,5.9,2300,5100,0.081,0.01,0.027,7.6,1.5,32.5,2,0.96,5,19.9,0.28,2.8,0.003,1
2020/5/13,1,0.17,2.8,89,6.1,220,880,0.18,0.013,0.006,7.8,1.6,30.9,2,0.99,12,25.3,0.36,1.7,0.005,2.7
2020/5/13,1.2,0.19,3.1,76,5.3,400,1200,0.17,0.013,0.003,7.8,2.3,31,2,1,8.1,25.2,0.37,2.3,0.005,1.6
2020/5/13,1.1,0.17,2.1,74,5.1,400,1100,0.15,0.012,0.008,7.8,1.9,32.7,2,0.91,7.8,24.4,0.33,4,0.004,1.4
2020/6/8,0.6,0.074,0.3,73,5.1,300,1000,0.49,0.11,0.01,7.7,1,24.5,1.8,3.5,6.3,26.8,0.67,2.1,0.002,1.3
2020/6/8,0.5,0.073,0.4,65,4.5,410,800,0.45,0.11,0.011,7.7,1.4,25.6,1.8,3,7.7,26.6,0.63,2.6,0.002,1.4
2020/6/8,0.7,0.092,0.3,63,4.3,350,1800,0.36,0.094,0.011,7.7,0.9,29.4,1.8,2.4,7.6,25.9,0.55,3.2,0.002,1.7
2020/7/17,2.6,0.04,19,104,7.1,100,130,0.37,0.037,0.007,8.3,3.4,24.2,2.4,1.4,4,27.9,0.45,2.3,0.004,2
2020/7/17,2.2,0.2,14,101,7,9900,19000,0.27,0.042,0.005,8,3.1,26.5,2.4,1.4,4.8,26.4,0.51,2,0.01,2
2020/7/17,2.3,0.27,16,95,6.7,17000,30000,0.3,0.044,0.006,7.8,4.4,31.3,2.4,1.5,4.8,24.3,0.61,2.9,0.007,1.7
2020/9/9,1.2,0.19,1.4,60,4,900,2500,0.11,0.034,0.088,7.8,0.4,31.6,2.8,1.5,7,26.8,0.33,4.2,0.006,1.9
2020/10/5,0.9,0.24,1.3,73,4.7,900,2800,0.14,0.026,0.028,7.9,0.9,30,2.6,1.1,3,29.1,0.41,3.9,0.012,0.9
2020/10/5,0.7,0.23,0.9,75,4.9,500,2600,0.14,0.025,0.027,7.9,1.4,30.4,2.6,1.2,3.1,29.1,0.4,4.1,0.011,1.1
2020/10/5,0.5,0.22,0.8,73,4.7,1800,3800,0.13,0.025,0.027,7.9,1.2,31.2,2.6,1.2,3,28.9,0.38,6.9,0.011,0.8
2020/11/4,0.7,0.11,2.7,79,5.5,2000,3700,0.1,0.032,0.024,7.8,1.5,33,2.7,0.98,2.7,24.7,0.24,4.2,0.003,0.7
2020/11/4,0.4,0.11,3.5,80,5.5,500,1500,0.1,0.031,0.025,7.8,1,33,2.7,1,3,24.7,0.24,3.8,0.003,1.1
2020/11/4,0.7,0.11,2.9,83,5.7,320,640,0.1,0.031,0.024,7.8,1.5,33.1,2.7,0.96,3.3,24.7,0.24,4,0.003,1.1
2020/12/3,0.7,0.1,4,82,5.9,2100,4900,0.15,0.018,0.022,7.8,1.2,31.8,2.6,0.36,12,22.6,0.27,4,0.002,1.8
2020/12/3,0.9,0.11,3.5,91,6.5,1400,2600,0.15,0.019,0.021,7.8,1,32,2.6,0.35,13,22.6,0.28,4.2,0.003,2.2
2020/12/3,0.8,0.086,5.7,90,6.5,640,1000,0.14,0.018,0.021,7.8,0.8,32,2.6,0.35,12,22.6,0.24,4.8,0.002,2.2
2020/1/2,0.9,0.3,0.9,71,5.4,4800,8200,0.17,0.022,0.034,8,0.3,31.9,2.5,1.5,5,19.7,0.49,5,0.008,1
2020/1/2,0.7,0.3,0.5,77,5.8,5900,9300,0.17,0.021,0.039,8,0.5,32.1,2.5,1.5,4.6,20,0.49,2.2,0.009,0.8
2020/3/11,1.3,0.12,2.2,82,6.2,760,1000,0.075,0.008,0.021,8.1,1.2,32.3,1.8,0.93,5.2,19.7,0.2,3.4,0.004,1
2020/3/11,1.2,0.13,1.9,87,6.5,2100,3000,0.074,0.008,0.015,8.1,1,32.4,1.8,0.94,5.7,19.8,0.21,3.2,0.005,1
2020/3/11,0.8,0.12,1.5,88,6.6,1000,1600,0.067,0.007,0.017,8.1,1,32.6,1.8,0.93,8.2,19.8,0.19,5.3,0.004,1.2
2020/5/13,1,0.13,2,96,6.7,590,1800,0.2,0.014,0.004,7.8,1.8,30.4,2.8,1.1,7.5,25.2,0.34,1.8,0.004,1.9
2020/5/13,1,0.14,2,75,5.2,1400,4200,0.19,0.014,0.003,7.8,2.3,30.5,2.8,1.1,9.2,25.1,0.34,2.7,0.004,1.9
2020/5/13,0.7,0.13,2.2,76,5.3,1200,2200,0.16,0.011,0.019,7.8,1.6,33.3,2.8,0.94,6.6,23.7,0.3,6.5,0.003,1
2020/6/8,0.7,0.066,0.5,70,4.9,290,2700,0.51,0.12,0.014,7.8,1,24.9,2.3,3.1,7.2,26.6,0.7,2.7,0.002,1.4
2020/6/8,0.8,0.18,0.7,57,3.9,390,1100,0.44,0.11,0.01,7.7,0.6,28.6,2.3,2.8,11,25.8,0.73,4.1,0.004,2.3
2020/7/17,3.5,0.058,24,113,7.8,5500,11000,0.4,0.042,0.009,8.3,5.6,23.7,2,1.5,5.5,27.7,0.5,2.3,0.006,2.5
2020/7/17,2.4,0.09,13,117,8.1,5700,12000,0.26,0.046,0.009,8,4,27.6,2,1.4,5.5,25.8,0.4,1.9,0.004,1.9
2020/7/17,2.1,0.096,14,73,5.5,5500,18000,0.27,0.043,0.004,7.9,3.6,32.5,2,1.4,4.5,23.7,0.41,4,0.003,1.6
2020/9/9,1.4,0.24,2.4,88,5.9,280,540,0.13,0.046,0.03,7.7,1.7,30.9,3,1.7,3,27,0.42,13.1,0.006,1
2020/9/9,1.2,0.18,1.6,61,4.1,190,490,0.11,0.043,0.027,7.8,0.7,32.8,3,1.2,3.9,25.7,0.33,7,0.005,1.2
2020/10/5,0.6,0.2,1.1,71,4.6,360,2000,0.13,0.026,0.025,7.9,1,30.6,2.7,1.1,4,29.1,0.36,4.5,0.01,1
2020/10/5,0.5,0.2,1.1,76,4.9,1100,2400,0.13,0.024,0.024,7.9,1.2,30.7,2.7,1.1,3.7,29.1,0.35,4.7,0.01,1.2
2020/10/5,0.6,0.21,0.8,80,5.2,860,4100,0.12,0.025,0.028,8,1.2,31.6,2.7,1.1,4.3,28.9,0.36,13.8,0.011,0.8
2020/11/4,0.8,0.15,2.3,78,5.4,5000,12000,0.08,0.039,0.021,7.8,1,33.2,2.9,1.1,2,24.4,0.27,3.6,0.004,0.6
2020/11/4,0.6,0.14,2.2,84,5.8,5300,8700,0.085,0.04,0.022,7.8,0.6,33.2,2.9,1.1,2.7,24.6,0.27,3.5,0.004,0.9
2020/11/4,0.7,0.14,2.5,86,5.9,6600,11000,0.081,0.039,0.021,7.8,0.8,33.2,2.9,1,2.8,24.6,0.26,4.4,0.004,1
2020/12/3,0.5,0.055,2.8,80,5.8,530,930,0.079,0.016,0.012,7.9,1.4,32.1,2.1,0.37,17,22.3,0.15,5.8,0.001,2.5
2020/12/3,0.7,0.054,2.7,93,6.7,530,770,0.075,0.015,0.011,7.8,1.3,32.2,2.1,0.38,16,22.4,0.14,7,0.001,2.3
2020/12/3,0.7,0.056,3.4,95,6.9,750,1100,0.075,0.016,0.01,7.8,0.5,32.2,2.1,0.35,18,22.4,0.15,7.5,0.001,3
2020/1/18,1.2,0.29,1.1,93,7,1800,4100,0.13,0.019,0.025,8,1.4,31.6,2.4,1.1,4.8,20.2,0.44,3.9,0.009,1
2020/1/18,0.9,0.3,1.1,60,4.5,2700,5800,0.14,0.018,0.022,8,2.9,31.6,2.4,0.88,5.2,20.1,0.46,2.4,0.01,1
2020/6/10,0.7,0.34,0.3,89,6.1,3500,10000,0.48,0.1,0.026,7.6,0.6,25.3,2.5,3.2,2.2,27.2,0.92,2,0.008,0.7
2020/10/14,2.1,0.4,0.7,60,4,130000,260000,0.054,0.035,0.037,7.9,1,31.8,1.9,1.6,15,27.6,0.49,5,0.017,3.8
2020/10/14,2.5,0.51,0.6,68,4.5,140000,300000,0.059,0.045,0.045,7.9,1.2,32.2,1.9,1.9,15,27.7,0.61,4.3,0.023,3.9
2020/11/21,1.1,0.52,2.2,84,5.9,6800,12000,0.14,0.023,0.044,7.6,1.5,31.6,2.5,0.87,2.5,24.3,0.68,3.7,0.009,0.8
2020/11/21,1,0.49,2.3,50,3.5,5400,9200,0.14,0.024,0.05,7.6,0.8,31.8,2.5,0.85,2.6,24.4,0.65,3.3,0.009,1.1
2020/1/18,0.4,0.16,2,95,7.2,80,130,0.097,0.018,0.008,8.2,0.7,32.1,2.6,0.59,3.4,19.6,0.28,4.3,0.007,0.8
2020/1/18,0.5,0.14,0.8,82,6.2,140,200,0.095,0.016,0.014,8.2,2.4,32.1,2.6,0.57,4.8,19.6,0.25,2.1,0.007,1
2020/1/18,0.7,0.15,0.8,75,5.7,230,330,0.096,0.016,0.013,8.2,2.4,32.1,2.6,0.48,5.6,19.6,0.26,2.2,0.007,1.1
2020/9/24,0.5,0.17,1.3,70,4.5,1700,2700,0.13,0.028,0.028,7.8,0.9,30.2,1.9,1.3,7.5,29.2,0.33,2.6,0.007,1.7
2020/9/24,0.6,0.17,1.2,71,4.6,800,2000,0.12,0.027,0.028,7.8,0.7,30.4,1.9,1.3,21,29.1,0.32,20.3,0.007,3.2
2020/9/24,0.6,0.17,0.8,71,4.6,2500,5400,0.12,0.027,0.027,7.8,1.5,30.4,1.9,1.3,40,29.1,0.32,23.4,0.007,5.8
2020/10/14,1,0.064,0.8,81,5.3,450,1000,0.023,0.006,0.011,7.9,1.2,32.3,1.4,0.57,21,27.3,0.09,8.3,0.003,4.9
2020/10/14,0.9,0.066,0.9,81,5.3,630,3300,0.022,0.006,0.011,7.9,1.4,32.3,1.4,0.57,30,27.4,0.09,7.8,0.003,5.6
2020/10/14,1.1,0.069,0.8,84,5.6,950,1800,0.023,0.005,0.014,8,1.3,32.4,1.4,0.56,15,27.4,0.1,10.8,0.003,3.1
2020/11/21,0.8,0.29,2.8,85,6,420,660,0.17,0.023,0.031,7.7,1.2,32,2.5,0.62,2.8,24.2,0.48,4,0.006,0.7
2020/11/21,0.7,0.27,2.6,72,5,140,240,0.16,0.022,0.035,7.7,1.6,32.1,2.5,0.62,2.9,24.1,0.45,4,0.006,0.8
2020/11/21,0.6,0.27,2.4,75,5.3,190,240,0.16,0.021,0.035,7.7,1.7,32.1,2.5,0.63,2,24.1,0.45,4.3,0.006,0.6
2020/1/18,0.9,0.29,2.1,89,6.7,180,330,0.14,0.018,0.021,8.1,2.1,31.5,1.9,0.96,6.6,20.2,0.45,4.1,0.011,1.2
2020/1/18,1,0.3,1.9,71,5.4,140,320,0.14,0.018,0.007,8.1,3.4,31.6,1.9,0.95,6.8,20.2,0.46,3.4,0.012,1.4
2020/9/24,0.6,0.23,2,48,3.1,470,1200,0.18,0.028,0.038,7.7,1.4,27.6,2.2,2.1,3,29.2,0.44,3.6,0.007,0.7
2020/9/24,0.6,0.24,1.4,46,3,1500,3200,0.16,0.028,0.037,7.7,1.3,29.4,2.2,2.1,2.7,28.9,0.43,13.4,0.007,0.7
2020/10/14,1,0.18,1.7,62,4.1,330,800,0.073,0.013,0.027,7.9,1.9,31.2,1.8,1.4,20,27.7,0.27,5.6,0.007,5.1
2020/10/14,1,0.18,1.4,62,4,540,900,0.068,0.011,0.03,7.9,2.7,31.6,1.8,1.4,33,28,0.26,10,0.008,5.6
2020/11/21,1.4,0.4,3.2,91,6.4,3900,5900,0.17,0.02,0.042,7.6,1,30.4,1.9,1.4,2.6,24.2,0.59,4.8,0.007,0.9
2020/11/21,1,0.41,3.3,55,3.8,19000,29000,0.16,0.02,0.043,7.6,0.9,31.3,1.9,1.4,1.8,24.3,0.59,6.7,0.008,0.9
2020/1/18,0.7,0.28,0.8,94,7.1,50,130,0.13,0.015,0.022,8.1,1,31.7,3,0.96,2.4,19.9,0.43,2.4,0.012,0.6
2020/1/18,0.7,0.28,0.3,74,5.6,210,510,0.12,0.014,0.019,8.2,3.1,31.8,3,0.74,3,19.8,0.41,1.5,0.012,0.9
2020/5/30,0.9,0.19,0.4,67,4.6,14000,21000,0.17,0.06,0.02,7.6,0.5,28.3,1,1.5,11,26.1,0.42,5.8,0.004,2.2
2020/9/24,0.5,0.23,0.7,63,4.1,1400,2200,0.18,0.035,0.036,7.8,0.9,29.4,2.2,1.7,4.3,29.1,0.45,3.4,0.008,1.2
2020/9/24,0.4,0.22,1.3,63,4.1,1200,4100,0.17,0.034,0.035,7.8,0.7,30.2,2.2,1.7,6,29.1,0.42,6.5,0.008,1.8
2020/10/14,0.7,0.058,0.4,80,5.3,3000,3900,0.047,0.006,0.014,8,1.1,32.5,2.2,0.82,18,27.6,0.11,5.5,0.003,3.9
2020/11/21,0.5,0.39,1.4,87,6.1,4600,7200,0.18,0.022,0.027,7.7,1.2,31.6,2.3,0.84,3.1,24.2,0.59,4,0.008,0.5
2020/11/21,0.5,0.35,0.7,64,4.5,5900,9200,0.17,0.021,0.037,7.7,1.3,31.9,2.3,0.77,6.4,24.2,0.54,5.4,0.007,1.5
2020/1/18,0.9,0.17,1,91,6.9,670,1100,0.062,0.015,0.009,8.1,1.4,31.9,2.4,0.77,2.8,19.5,0.25,2.1,0.007,0.8
2020/1/18,0.6,0.14,1.2,79,6,180,500,0.096,0.014,0.013,8.2,2.2,32.1,2.4,0.54,3.2,19.6,0.25,1.4,0.006,0.9
2020/5/30,1.3,0.15,0.2,95,6.7,22000,30000,0.22,0.053,0.014,7.7,0.5,25.3,1.2,1.3,13,25.9,0.42,5.6,0.003,3.1
2020/9/24,0.5,0.15,1.5,115,7.5,1800,3500,0.16,0.026,0.035,7.8,0.6,29.7,2.5,1.3,2.8,29,0.34,3.6,0.005,0.8
2020/9/24,0.4,0.21,1,70,4.5,5200,7600,0.15,0.027,0.04,7.8,0.6,30.5,2.5,1.4,7.7,29,0.39,3.9,0.008,1.8
2020/11/21,1,0.31,1,106,7.4,3400,6500,0.19,0.022,0.027,7.7,1.2,31.8,3.2,0.89,2.6,24,0.52,3.1,0.006,0.9
2020/11/21,0.8,0.26,1.1,66,4.6,1000,1700,0.17,0.02,0.036,7.7,1.5,32,3.2,0.73,2.4,24,0.45,3.8,0.005,0.8
2020/1/18,1.8,1.1,2,98,7.5,5200,9400,2,0.44,0.59,7.8,3.2,25.1,2.4,3.5,2.6,20.9,3.54,1.4,0.026,1.2
2020/1/18,0.8,0.26,2.6,71,5.4,260,460,0.22,0.04,0.054,8.1,6.7,30.7,2.4,0.64,3,20.2,0.52,0.9,0.01,1.2
2020/1/18,1.4,0.2,1.1,69,5.2,160,290,0.12,0.028,0.014,8.1,3.1,31.8,2.4,0.69,2.8,19.9,0.35,1.1,0.008,1
2020/5/30,1.1,0.21,0.9,55,3.8,6900,15000,0.17,0.089,0.03,7.5,0.8,25.8,1.3,1.3,2.6,26.2,0.47,2.2,0.003,1.5
2020/5/30,1.3,0.51,2.5,53,3.6,63000,110000,0.45,0.18,0.12,7.6,2,30.9,1.3,2.9,6.3,25.9,1.14,4.1,0.01,1.8
2020/9/24,1.5,1.4,9.4,45,3.1,68000,350000,1.4,0.46,0.53,7.5,2.3,18.2,1.8,6.7,1.9,29.2,3.26,3.6,0.029,0.9
2020/9/24,0.9,0.81,5,52,3.3,38000,180000,0.77,0.19,0.33,7.8,1.8,31,1.8,4.2,1.3,29,1.77,3.7,0.028,0.6
2020/10/14,2.5,1.8,2.9,34,2.4,120000,300000,1.9,0.6,0.57,6.6,1.5,20.4,1.8,7,6.4,26.8,4.3,4.5,0.01,2.5
2020/10/14,1.8,1.1,3.5,34,2.4,42000,150000,1.2,0.34,0.36,6.6,2.9,18.7,1.8,4.2,14,26.9,2.64,5.2,0.006,3.8
2020/10/14,1.5,0.86,3.2,31,2.2,33000,69000,0.92,0.25,0.31,6.6,3.7,20.7,1.8,3.1,11,27.1,2.03,4.7,0.005,2.6
2020/11/21,3.2,2,21,90,6.7,6100,9800,1.5,0.64,0.51,7.3,10,17.3,1.9,6.2,1.6,25.1,4.14,3.3,0.024,1.6
2020/11/21,2.2,1.1,9.4,70,4.9,3800,5600,0.96,0.32,0.3,7.7,7.1,30.5,1.9,3.1,2.5,24.1,2.38,4,0.022,1.1
2020/11/21,1.7,0.81,6.9,70,4.9,4500,6300,0.66,0.18,0.2,7.7,4.8,32.1,1.9,2.1,2.6,23.8,1.65,4.1,0.016,1.6
2020/12/16,2.8,1.4,6.5,82,6.2,40000,71000,1.3,0.48,0.52,7.5,2.8,27.1,2.7,2.9,9.2,21.3,3.18,4.4,0.015,1.8
2020/12/16,1.9,0.72,4.2,60,4.4,19000,27000,0.67,0.19,0.28,7.6,3.2,30.8,2.7,1.6,7.8,21.2,1.58,3.4,0.011,1.3
2020/12/16,2.5,1.7,7.1,60,4.5,39000,49000,1.5,0.51,0.61,7.7,2.1,31.6,2.7,3.1,7.2,21.1,3.71,3.4,0.026,1.6
2020/1/18,0.6,0.28,1,97,7.3,820,1300,0.2,0.018,0.013,8.1,2,31.4,1.8,1.2,6.5,20.2,0.5,4.4,0.011,1
2020/1/18,0.5,0.27,0.4,76,5.7,490,940,0.2,0.018,0.023,8.1,4,31.4,1.8,1,6.4,20.2,0.49,3.4,0.011,1.2
2020/9/24,0.3,0.11,1.3,70,4.6,590,2900,0.35,0.1,0.031,7.8,0.2,27,2.1,2.3,3.6,29.2,0.56,4.7,0.004,0.8
2020/10/14,0.7,0.12,1.6,72,4.7,360,850,0.067,0.012,0.021,8,1.6,32.3,2,0.89,21,27.9,0.2,7.1,0.006,4.2
2020/10/14,0.6,0.11,1.7,75,4.9,500,1100,0.067,0.013,0.019,8,1.7,32.3,2,0.73,20,28,0.19,6.8,0.005,4.1
2020/11/21,0.6,0.22,0.7,85,6,1800,2300,0.2,0.033,0.024,7.8,1,31.3,1.9,0.92,5.6,24.2,0.45,6.9,0.006,1.1
2020/11/21,0.8,0.24,0.8,77,5.4,2100,3500,0.2,0.034,0.024,7.8,1.2,31.3,1.9,0.95,5.9,24.2,0.47,6.8,0.007,1.4
2020/7/10,1.4,0.076,12,92,6.3,14,92,0.32,0.047,0.008,8.1,2.7,26.7,2.7,2,13,26.9,0.44,2.4,0.004,2.6
2020/7/10,1.2,0.054,9.7,61,4.3,14,41,0.27,0.044,0.006,8,1.5,34.1,2.7,1.8,12,23.1,0.37,4.2,0.002,2.3
2020/7/10,1.2,0.062,9.9,63,4.5,47,220,0.23,0.045,0.003,7.9,2.3,34.2,2.7,1.9,15,22.9,0.34,8,0.002,2.8
2020/9/7,1.1,0.036,8.7,89,5.9,14,47,0.092,0.036,0.004,7.9,2,31.2,2.8,1.1,9.2,27.3,0.16,1.4,0.001,2.4
2020/10/9,0.3,0.03,0.9,91,5.9,13,24,0.007,0.007,0.007,8,0.8,33,1.9,0.63,10,28.3,0.04,7.1,0.002,2
2020/11/5,0.6,0.074,3.4,82,5.7,1300,2300,0.082,0.035,0.017,7.8,0.5,33.2,3.7,1,2.1,24.3,0.19,4,0.002,0.7
2020/11/5,0.6,0.064,2.9,90,6.2,1700,3300,0.085,0.035,0.018,7.8,0.5,33.3,3.7,1,2.5,24.3,0.18,3.5,0.002,0.8
2020/11/5,0.7,0.067,2.5,90,6.3,1700,4700,0.082,0.035,0.018,7.8,0.4,33.3,3.7,1,2.6,24.3,0.18,6.9,0.002,0.9
