Dates,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),pH,Phaeo-pigments (μg/L),Salinity (psu),Secchi Disc Depth (M),Silica (mg/L),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L)
2019/3/22,0.5,0.099,1.8,64,4.6,27,47,0.045,0.006,0.018,7.9,0.6,33.2,2.5,0.4,7.6,21.4,0.15,0.5,0.002,1.4
2019/5/16,0.6,0.046,1,81,5.5,15,30,0.082,0.011,0.011,7.8,1.3,33,3.4,0.37,8,25.4,0.14,0.7,0.001,1.6
2019/5/16,0.6,0.05,0.8,70,4.8,28,47,0.079,0.01,0.012,7.8,2.4,32.9,3.4,0.38,9,24.8,0.14,0.7,0.001,2.4
2019/5/16,0.6,0.046,0.7,85,5.8,24,50,0.077,0.011,0.011,7.8,2.1,32.8,3.4,0.4,7.9,24.6,0.13,1,0.001,2.1
2019/6/5,0.3,0.072,0.8,78,5.3,64,150,0.12,0.047,0.013,7.6,0.2,31,2.5,1.1,8.7,26.7,0.24,1.6,0.002,2.4
2019/7/10,1.3,0.045,4.9,89,5.8,90,240,0.24,0.038,0.008,8.7,2.6,23.2,3.1,2,1.9,30.7,0.32,18.8,0.011,0.9
2019/8/7,0.4,0.061,1,78,5.2,460,870,0.067,0.021,0.007,8,0.7,31.2,2.4,1,4.2,27.5,0.15,12.9,0.003,1
2019/8/7,0.4,0.058,0.7,75,5,240,500,0.059,0.02,0.009,8,1.2,31.6,2.4,1,4.3,27.3,0.14,12.8,0.003,0.6
2019/9/13,0.8,0.034,9.2,105,6.7,47,120,0.024,0.011,0.006,8.3,4.3,31.5,3,0.12,2.8,29.4,0.07,1,0.004,1.2
2019/9/13,0.6,0.039,9.7,93,6,150,450,0.053,0.019,0.004,8.2,3.7,31.4,3,0.26,4.8,28.9,0.11,1.9,0.004,1.2
