"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Mirs Bay","MM8","2019-04-18","1","Middle Water","<0.1","0.006","0.6","95","6.7","<1","<1","<0.002","<0.002","0.018","7.9","<0.2","33.8","3.1","0.27","1.7","22.7","0.01","0.19","0.19","0.02","0.4","<0.001","1"
"Mirs Bay","MM8","2019-04-18","1","Bottom Water","<0.1","0.014","0.3","91","6.4","<1","<1","<0.002","<0.002","0.016","7.9","0.2","33.8","3.1","0.32","4.2","22.5","0.02","0.13","0.13","0.02","3.1","<0.001","0.8"
"Mirs Bay","MM8","2019-05-20","1","Surface Water","1.2","<0.005","4.4","99","6.6","<1","<1","0.049","0.004","0.003","7.9","1.1","31.6","4","<0.05","8.1","26.6","0.06","0.24","0.29","<0.02","0.3","<0.001","2"
"Mirs Bay","MM8","2019-05-20","1","Middle Water","0.7","<0.005","5.9","90","6.2","<1","<1","<0.002","0.006","0.004","7.8","0.9","33.8","4","0.25","7.6","24.3","0.01","1.1","1.11","<0.02","0.7","<0.001","1.7"
"Mirs Bay","MM8","2019-05-20","1","Bottom Water","0.6","<0.005","3.9","87","6","<1","1","<0.002","0.013","0.005","7.7","0.8","34","4","0.27","9.1","24.1","0.02","0.22","0.24","<0.02","1.6","<0.001","2.3"
"Mirs Bay","MM8","2019-06-10","1","Surface Water","2.3","<0.005","12","92","6.9","1","1","0.18","0.042","0.003","7.9","4.4","27.8","2.7","0.57","9","27.9","0.23","0.38","0.6","<0.02","1.1","<0.001","3"
"Mirs Bay","MM8","2019-06-10","1","Middle Water","0.4","0.018","0.3","49","3.3","<1","<1","0.004","0.03","0.009","7.5","<0.2","34.1","2.7","0.66","7.3","25.1","0.05","0.09","0.12","0.02","0.6","<0.001","2.2"
"Mirs Bay","MM8","2019-06-10","1","Bottom Water","0.3","0.017","0.5","68","4.7","<1","<1","0.012","0.018","0.01","7.6","<0.2","34.3","2.7","0.55","8.8","24.3","0.05","0.12","0.15","<0.02","1.7","<0.001","1.6"
"Mirs Bay","MM8","2019-07-17","1","Surface Water","0.5","0.017","1.2","105","7.3","<1","<1","0.057","0.007","0.013","8.1","0.7","28.6","2.5","0.81","11","28.2","0.08","0.18","0.24","0.03","2.8","0.001","3.7"
"Mirs Bay","MM8","2019-07-17","1","Middle Water","0.3","0.011","0.5","55","3.9","<1","<1","0.044","0.008","0.012","7.5","0.8","34.4","2.5","0.96","6.9","23.5","0.06","0.14","0.19","0.02","3.1","<0.001","2.1"
"Mirs Bay","MM8","2019-07-17","1","Bottom Water","0.2","0.02","0.9","58","4.1","<1","<1","0.056","0.007","0.014","7.5","0.6","34.6","2.5","0.8","13","22.5","0.08","<0.05","0.11","0.02","5","<0.001","3"
"Mirs Bay","MM8","2019-08-22","1","Surface Water","3.6","<0.005","8.9","105","7.5","<1","1","<0.002","<0.002","<0.002","8.6","2.1","31.4","2.8","0.11","2.4","28.4","<0.01","0.46","0.46","0.03","11.4","<0.001","1.6"
"Mirs Bay","MM8","2019-08-22","1","Middle Water","0.5","0.02","2.7","63","4.4","<1","1","0.011","0.022","<0.002","8.1","1.9","34.3","2.8","0.87","2","23.8","0.05","0.07","0.1","0.03","10.5","0.001","0.8"
"Mirs Bay","MM8","2019-08-22","1","Bottom Water","0.3","0.022","0.4","58","4.1","<1","<1","0.025","0.01","0.017","8.1","0.9","34.6","2.8","0.91","3.9","22.1","0.06","0.11","0.15","0.03","14","<0.001","0.9"
"Mirs Bay","MM8","2019-09-23","1","Surface Water","0.4","0.01","0.8","88","5.7","<1","<1","<0.002","<0.002","<0.002","8.3","<0.2","32.9","3.8","0.37","6.4","29.1","0.01","0.34","0.34","<0.02","2.9","0.001","1.7"
"Mirs Bay","MM8","2019-09-23","1","Middle Water","0.2","0.009","0.6","93","6","<1","<1","<0.002","<0.002","<0.002","8.3","<0.2","32.9","3.8","0.33","6.6","29.1","0.01","0.36","0.36","<0.02","2.3","<0.001","1.5"
"Mirs Bay","MM8","2019-09-23","1","Bottom Water","<0.1","0.011","0.5","90","5.8","<1","<1","<0.002","<0.002","<0.002","8.3","<0.2","33.2","3.8","0.36","7.4","29.1","0.02","0.8","0.8","<0.02","5.6","0.001","1.6"
"Mirs Bay","MM8","2019-10-21","1","Surface Water","0.5","<0.005","1.3","95","6.2","<1","<1","<0.002","<0.002","0.008","8","0.7","33","4","0.49","1.8","28.1","<0.01","0.55","0.55","<0.02","2","<0.001","0.8"
"Mirs Bay","MM8","2019-10-21","1","Middle Water","<0.1","<0.005","0.8","95","6.2","<1","<1","0.004","0.026","0.01","8","<0.2","33.4","4","0.88","2.7","27.8","0.04","0.35","0.38","0.03","2.1","<0.001","0.6"
"Mirs Bay","MM8","2019-10-21","1","Bottom Water","<0.1","<0.005","0.5","86","5.6","<1","<1","<0.002","0.022","0.01","8","0.4","33.4","4","1.1","19","27.8","0.03","0.26","0.28","0.03","10.6","<0.001","1.7"
"Mirs Bay","MM8","2019-11-22","1","Surface Water","0.5","0.02","1.5","86","6","<1","<1","<0.002","<0.002","0.008","8.1","1","33.6","3.3","0.55","2.8","24.4","0.02","0.37","0.37","0.02","2.8","<0.001","0.7"
"Mirs Bay","MM8","2019-11-22","1","Middle Water","0.3","0.026","0.2","94","6.5","<1","<1","0.012","0.01","0.014","8","2.2","33.6","3.3","0.76","2.7","24","0.05","0.27","0.29","0.03","2.8","0.001","0.6"
"Mirs Bay","MM8","2019-11-22","1","Bottom Water","0.2","0.019","0.6","93","6.5","<1","<1","<0.002","0.014","0.007","8","0.7","33.6","3.3","0.86","5.1","23.8","0.04","0.67","0.69","0.03","7.2","<0.001","0.8"
"Mirs Bay","MM8","2019-12-16","1","Surface Water","0.4","0.02","1.4","52","4.2","<1","<1","0.09","0.008","0.011","8.2","1.3","33","2.8","0.82","1.9","19.2","0.12","0.16","0.26","<0.02","2.6","<0.001","<0.5"
"Mirs Bay","MM8","2019-12-16","1","Middle Water","0.2","0.022","<0.2","95","7.2","<1","<1","0.018","0.003","0.006","8.2","1.3","32.7","2.8","0.73","3.5","19.3","0.04","0.35","0.37","<0.02","2.2","<0.001","0.8"
"Mirs Bay","MM8","2019-12-16","1","Bottom Water","0.5","0.021","0.9","96","7.3","1","2","0.011","0.009","0.003","8.2","0.3","32.7","2.8","0.83","7.1","19.4","0.04","0.31","0.33","<0.02","7.7","<0.001","1"
"North Western","NM1","2019-01-23","1","Surface Water","0.4","0.13","0.9","75","5.8","110","200","0.28","0.02","0.016","7.9","0.9","31.4","2.1","1.7","12","18.7","0.43","0.68","0.98","0.04","5.8","0.003","2"
"North Western","NM1","2019-01-23","1","Middle Water","0.4","0.14","1.2","90","7","130","240","0.27","0.02","0.018","7.9","0.8","31.5","2.1","1.8","15","18.6","0.43","0.57","0.86","0.04","7.3","0.003","1.8"
"North Western","NM1","2019-01-23","1","Bottom Water","0.4","0.15","1.3","90","7","190","270","0.27","0.019","0.02","7.9","0.5","31.5","2.1","1.8","18","18.6","0.44","0.9","1.19","0.05","7.9","0.003","2.4"
"North Western","NM1","2019-02-22","1","Surface Water","0.9","0.12","4.8","89","6.7","80","150","0.27","0.012","0.012","8","3.4","29.6","2.4","0.42","3","20.7","0.4","0.81","1.09","0.03","1.4","0.004","0.8"
"North Western","NM1","2019-02-22","1","Middle Water","1","0.12","3.4","95","7.2","170","310","0.24","0.011","0.009","8","3.3","30","2.4","0.42","3","20.6","0.37","0.7","0.95","0.03","1.6","0.004","1.1"
"North Western","NM1","2019-02-22","1","Bottom Water","1.1","0.11","2.2","96","7.3","360","580","0.21","0.01","0.013","7.9","4","30.3","2.4","0.37","3.7","20.6","0.33","0.58","0.8","0.03","1.9","0.003","1.4"
"North Western","NM1","2019-03-04","1","Surface Water","0.7","0.053","8.1","112","8.4","1","1","0.21","0.013","0.008","8.1","2.2","30.1","4.4","0.23","1.8","20.8","0.28","0.98","1.2","0.03","0.5","0.002","1"
"North Western","NM1","2019-03-04","1","Middle Water","0.9","0.079","14","103","7.7","56","64","0.16","0.01","0.01","8.1","2.3","31.1","4.4","0.18","2.6","20.4","0.25","0.71","0.88","0.03","1.2","0.003","1.4"
"North Western","NM1","2019-03-04","1","Bottom Water","1","0.076","14","100","7.5","60","140","0.14","0.009","0.01","8.1","2.3","31.6","4.4","0.15","2.4","20.3","0.23","0.5","0.65","0.03","0.9","0.003","1"
"North Western","NM1","2019-04-03","1","Surface Water","0.5","0.14","0.5","82","5.9","15","31","0.042","0.053","0.017","7.8","<0.2","30.9","2.9","2","7.3","22.7","0.24","0.37","0.47","0.03","1.3","0.004","1.5"
"North Western","NM1","2019-04-03","1","Middle Water","0.4","0.13","0.6","83","6","34","63","0.17","0.01","0.01","7.8","<0.2","31.8","2.9","0.93","9.4","22.3","0.31","0.36","0.54","0.03","1.2","0.003","1.8"
"North Western","NM1","2019-04-03","1","Bottom Water","0.4","0.14","0.4","83","6","37","66","0.16","0.008","0.022","7.8","<0.2","32.2","2.9","0.87","9","22.3","0.31","0.4","0.57","0.03","1.6","0.004","1.9"
"North Western","NM1","2019-05-15","1","Surface Water","2.4","0.009","16","126","9","4","9","0.62","0.038","0.01","8.1","14","20.9","1.9","0.68","17","26.7","0.67","0.27","0.93","0.04","3.2","<0.001","4.9"
"North Western","NM1","2019-05-15","1","Middle Water","1","0.069","3.9","91","6.4","420","700","0.29","0.018","0.01","7.8","3.6","29.3","1.9","0.74","12","24.6","0.38","0.39","0.7","0.02","2.8","0.002","3.2"
"North Western","NM1","2019-05-15","1","Bottom Water","0.8","0.084","1","87","6.1","690","1100","0.22","0.014","0.006","7.7","2.9","30.2","1.9","0.78","13","24.5","0.32","0.45","0.68","0.03","4","0.002","2.1"
"North Western","NM1","2019-06-20","1","Surface Water","0.6","0.056","2.6","76","5.3","590","1000","0.58","0.054","0.022","7.6","1.3","19.8","2.2","3.7","2.3","28.4","0.69","0.62","1.25","0.04","2.6","0.001","1.1"
"North Western","NM1","2019-06-20","1","Middle Water","0.4","0.076","0.6","61","4.2","590","1200","0.15","0.034","0.004","7.6","<0.2","29.5","2.2","1.5","14","27","0.26","0.39","0.57","0.03","4.5","0.001","2.3"
"North Western","NM1","2019-06-20","1","Bottom Water","0.4","0.49","0.5","59","4","520","990","0.16","0.034","0.04","7.6","0.5","30","2.2","1.4","28","26.9","0.68","0.86","1.05","0.13","9.3","0.009","5.8"
"North Western","NM1","2019-07-03","1","Surface Water","1.2","0.041","8.4","81","5.4","38","110","0.37","0.035","0.008","8.7","4.3","19.5","2.1","2","5.9","31.4","0.45","0.13","0.54","0.03","18.7","0.011","1.5"
"North Western","NM1","2019-07-03","1","Middle Water","1","0.064","8.1","52","3.4","92","120","0.26","0.031","0.008","8.6","5.9","23.3","2.1","1.9","11","30.6","0.36","0.26","0.55","0.03","13.7","0.014","1.8"
"North Western","NM1","2019-07-03","1","Bottom Water","0.7","0.066","7","51","3.4","70","140","0.25","0.028","0.014","8.6","4.9","23.6","2.1","1.7","8.4","30.5","0.34","0.2","0.48","0.03","13.4","0.014","1.5"
"North Western","NM1","2019-08-17","1","Surface Water","0.8","0.04","5","90","6.4","60","160","0.53","0.099","0.021","8","1.3","23.6","2","3.2","9.8","28.9","0.67","0.23","0.86","0.04","2.4","0.002","2"
"North Western","NM1","2019-08-17","1","Middle Water","0.5","0.028","1.8","45","3.1","190","360","0.16","0.039","0.017","8","2.1","32.1","2","1.9","20","26.1","0.23","0.25","0.45","0.04","5.7","0.001","4.1"
"North Western","NM1","2019-08-17","1","Bottom Water","0.5","0.036","1.6","44","3","80","110","0.16","0.034","0.017","7.9","1.7","32.4","2","2","23","25.9","0.23","0.2","0.39","0.04","8.5","0.001","3.1"
"North Western","NM1","2019-09-04","1","Surface Water","0.4","0.041","0.5","83","5.7","90","280","0.35","0.14","0.03","7.9","0.7","25.3","2.5","1.9","9.9","27.5","0.53","0.36","0.85","0.05","6.5","0.002","1.2"
"North Western","NM1","2019-09-04","1","Middle Water","0.3","0.079","<0.2","64","4.3","52","110","0.36","0.09","0.034","7.9","<0.2","27.4","2.5","2.1","26","27.1","0.53","0.36","0.81","0.06","12","0.003","4.2"
"North Western","NM1","2019-09-04","1","Bottom Water","0.4","0.072","0.6","63","4.3","45","120","0.35","0.088","0.033","7.9","1.3","27.5","2.5","2.1","31","27","0.51","0.4","0.84","0.06","14.5","0.003","4.7"
"North Western","NM1","2019-10-11","1","Surface Water","0.5","0.035","3.8","94","6.1","12","28","0.21","0.13","0.016","7.9","<0.2","29.6","1.9","2.1","14","29.5","0.38","0.4","0.74","0.05","6.7","0.002","2.7"
"North Western","NM1","2019-10-11","1","Middle Water","0.5","0.034","4.1","77","5","37","65","0.21","0.13","0.015","7.8","0.6","30.3","1.9","2","16","29.1","0.37","0.45","0.79","0.05","4.8","0.001","3.7"
"North Western","NM1","2019-10-11","1","Bottom Water","0.6","0.075","2.2","73","4.7","23","53","0.12","0.097","0.022","7.8","<0.2","31.4","1.9","1.5","13","29","0.29","0.25","0.47","0.04","6.5","0.003","2.3"
"North Western","NM1","2019-11-11","1","Surface Water","0.7","0.07","4.4","89","6","330","1000","0.057","0.033","0.009","8","2.1","33","3.3","0.67","3.6","25.8","0.16","0.26","0.35","0.05","3.6","0.003","1"
"North Western","NM1","2019-11-11","1","Middle Water","0.6","0.071","5","94","6.3","570","2200","0.058","0.034","0.012","7.9","0.5","33","3.3","0.57","4.6","25.7","0.16","0.35","0.44","0.05","3.4","0.002","1.2"
"North Western","NM1","2019-11-11","1","Bottom Water","0.6","0.086","3.6","92","6.2","1700","4700","0.056","0.032","0.015","7.8","1.6","33","3.3","0.6","6.2","25.7","0.17","0.35","0.44","0.05","4.3","0.003","1.2"
"North Western","NM1","2019-12-13","1","Surface Water","0.4","0.13","0.5","84","6.2","1500","2900","0.078","0.032","0.01","8.1","2.1","33.4","1.8","1.1","14","20.4","0.24","0.34","0.45","0.03","6.9","0.005","1.6"
"North Western","NM1","2019-12-13","1","Middle Water","0.5","0.14","0.8","83","6.2","1800","3700","0.075","0.032","0.017","8.1","2.6","33.4","1.8","1.1","18","20.4","0.25","0.37","0.48","0.03","10.4","0.006","2.4"
"North Western","NM1","2019-12-13","1","Bottom Water","0.4","0.15","0.6","84","6.2","1500","3000","0.076","0.031","0.022","8.1","1.5","33.4","1.8","1.1","20","20.4","0.26","0.34","0.45","0.11","9.7","0.006","2.6"
"North Western","NM2","2019-01-23","1","Surface Water","0.5","0.13","1.2","83","6.4","130","160","0.29","0.02","0.019","7.9","0.9","31.4","1.9","1.8","19","18.6","0.44","0.74","1.05","0.04","6.6","0.003","2.5"
"North Western","NM2","2019-01-23","1","Middle Water","0.5","0.13","1","89","6.9","90","120","0.28","0.021","0.027","7.9","0.8","31.4","1.9","1.8","16","18.6","0.43","0.74","1.04","0.04","8.1","0.003","1.8"
"North Western","NM2","2019-01-23","1","Bottom Water","0.4","0.13","1.3","89","6.9","130","210","0.28","0.02","0.024","7.9","0.5","31.4","1.9","1.8","28","18.6","0.43","0.77","1.07","0.05","8.6","0.003","3.3"
"North Western","NM2","2019-02-22","1","Surface Water","1","0.095","4.5","84","6.3","99","110","0.27","0.013","0.012","7.9","4","29.6","2.7","0.41","4.6","20.6","0.38","0.54","0.82","0.03","1.4","0.003","1"
"North Western","NM2","2019-02-22","1","Middle Water","0.9","0.094","2.4","88","6.6","93","150","0.27","0.012","0.009","7.9","4.3","29.7","2.7","0.4","3.7","20.7","0.38","0.68","0.96","0.03","2.2","0.003","0.9"
"North Western","NM2","2019-02-22","1","Bottom Water","1","0.098","1.7","94","7.1","140","220","0.26","0.012","0.013","7.9","4.5","29.7","2.7","0.43","5.9","20.7","0.37","0.53","0.8","0.03","2.4","0.003","1.3"
"North Western","NM2","2019-03-04","1","Surface Water","0.5","0.048","3.2","106","8","<1","1","0.33","0.018","0.008","8.2","1.3","28.8","4.3","0.29","3.5","21.3","0.4","0.37","0.72","0.03","0.5","0.002","1.8"
"North Western","NM2","2019-03-04","1","Middle Water","1","0.055","16","107","8","31","40","0.22","0.012","0.008","8.2","2.9","30.5","4.3","0.2","6","20.6","0.29","0.76","0.99","0.03","0.6","0.002","2.9"
"North Western","NM2","2019-03-04","1","Bottom Water","1","0.055","14","101","7.6","65","130","0.18","0.012","0.006","8.1","3","31","4.3","0.21","2.7","20.4","0.25","0.48","0.67","0.03","0.9","0.002","1.4"
"North Western","NM2","2019-04-03","1","Surface Water","0.5","0.13","0.7","78","5.7","5","18","0.3","0.017","0.021","7.9","0.3","29.9","2.5","1.3","8.1","22.6","0.45","0.35","0.67","0.03","1.2","0.004","2.1"
"North Western","NM2","2019-04-03","1","Middle Water","0.3","0.13","0.3","66","4.8","8","14","0.21","0.011","0.014","7.9","<0.2","30.5","2.5","1","8.9","22.4","0.35","0.43","0.65","0.03","1","0.003","1.6"
"North Western","NM2","2019-04-03","1","Bottom Water","0.5","0.13","0.2","82","5.9","9","21","0.21","0.011","0.006","7.9","<0.2","31.4","2.5","1","8.3","22.3","0.35","0.32","0.54","0.03","1","0.003","1.8"
"North Western","NM2","2019-05-15","1","Surface Water","1.7","0.037","11","106","7.6","23","40","0.63","0.036","0.007","7.9","8.5","21.7","2.3","1.4","18","26.1","0.7","0.21","0.88","0.03","3.2","0.002","5.1"
"North Western","NM2","2019-05-15","1","Middle Water","1.3","0.061","7.4","93","6.7","64","130","0.48","<0.002","0.011","7.8","4.5","23.2","2.3","1.2","14","25.3","0.54","0.36","0.84","0.03","3.6","0.002","3.4"
"North Western","NM2","2019-05-15","1","Bottom Water","0.9","0.075","3.9","95","6.7","210","300","0.34","0.021","0.002","7.8","2.2","27.8","2.3","0.98","12","24.8","0.44","0.37","0.73","0.02","3","0.002","2.3"
"North Western","NM2","2019-06-20","1","Surface Water","0.6","0.085","4.9","68","4.7","110","240","0.71","0.062","0.032","7.5","1.3","18.9","2.3","4.3","8.2","28.4","0.86","0.76","1.53","0.04","2.7","0.002","1.4"
"North Western","NM2","2019-06-20","1","Middle Water","0.4","0.089","2.7","60","4.2","420","820","0.47","0.048","0.005","7.6","<0.2","20.8","2.3","3.1","8.4","27.8","0.61","0.28","0.8","0.04","2.5","0.002","1.4"
"North Western","NM2","2019-06-20","1","Bottom Water","0.3","0.08","0.9","64","4.3","650","2100","0.26","0.04","0.018","7.6","<0.2","28.2","2.3","1.9","13","27.1","0.38","0.49","0.79","0.03","3.3","0.002","2.6"
"North Western","NM2","2019-07-03","1","Surface Water","0.9","0.032","11","73","4.8","10","21","0.4","0.049","0.015","8.7","6.7","16.9","2","3.6","7.2","31.9","0.48","0.07","0.52","0.02","19","0.01","1.3"
"North Western","NM2","2019-07-03","1","Middle Water","0.8","0.033","9.7","68","4.5","16","36","0.45","0.043","0.013","8.7","5.1","17.6","2","3.2","6.6","32","0.53","0.1","0.59","0.02","14.6","0.01","1.8"
"North Western","NM2","2019-07-03","1","Bottom Water","0.7","0.028","12","74","4.9","23","58","0.44","0.042","0.012","8.6","3.3","20.8","2","3.2","6.9","31.3","0.51","0.11","0.59","<0.02","12.3","0.007","1.6"
"North Western","NM2","2019-08-17","1","Surface Water","0.5","0.036","4.2","87","5.9","11","39","0.67","0.13","0.027","8","2.3","20.7","1.8","4.1","8.7","29.5","0.84","0.3","1.1","0.04","2.7","0.002","1.8"
"North Western","NM2","2019-08-17","1","Middle Water","0.8","0.024","3.1","80","5.4","43","100","0.39","0.095","0.02","8","2","23","1.8","3.3","11","29.2","0.51","0.26","0.75","0.04","2.7","0.001","2.5"
"North Western","NM2","2019-08-17","1","Bottom Water","0.5","0.045","2.3","52","3.5","210","380","0.23","0.054","0.02","8","1.2","30.5","1.8","2.1","13","26.7","0.33","0.16","0.44","0.04","4.1","0.002","2"
"North Western","NM2","2019-09-04","1","Surface Water","0.4","0.024","0.7","81","5.5","230","700","0.33","0.15","0.032","7.9","0.5","24.5","2.5","2","10","27.8","0.5","0.28","0.76","0.05","4.5","0.001","1.4"
"North Western","NM2","2019-09-04","1","Middle Water","0.2","0.06","1","59","4.1","50","160","0.38","0.12","0.032","7.9","0.9","25.1","2.5","2","17","27.7","0.56","0.29","0.79","0.05","5.3","0.003","2.9"
"North Western","NM2","2019-09-04","1","Bottom Water","0.2","0.059","0.4","64","4.4","90","180","0.37","0.11","0.032","7.9","0.7","26.9","2.5","1.9","31","27.2","0.54","0.33","0.81","0.06","7.8","0.003","4.8"
"North Western","NM2","2019-10-11","1","Surface Water","0.9","0.03","12","77","5","5","17","0.27","0.13","0.012","7.9","<0.2","27.9","1.7","1.9","13","29.4","0.43","0.26","0.66","0.04","9","0.001","3.1"
"North Western","NM2","2019-10-11","1","Middle Water","0.6","0.033","1.5","77","5.1","28","73","0.19","0.13","0.014","7.8","1","28.9","1.7","1.9","15","29.3","0.35","0.31","0.63","0.05","5.7","0.001","3.7"
"North Western","NM2","2019-10-11","1","Bottom Water","0.5","0.034","2.9","73","4.7","17","43","0.21","0.14","0.027","7.8","<0.2","30.2","1.7","2","17","29.2","0.38","0.32","0.67","0.05","7.3","0.001","3.2"
"North Western","NM2","2019-11-11","1","Surface Water","1.1","0.025","7.3","97","6.6","1","18","0.06","0.038","0.006","8","2.4","32.6","2.3","0.56","3.9","26.1","0.12","0.55","0.65","0.06","3.1","0.001","1.4"
"North Western","NM2","2019-11-11","1","Middle Water","0.9","0.035","7.4","95","6.5","7","8","0.068","0.04","0.009","7.9","3.4","32.7","2.3","0.65","5.2","25.7","0.14","0.28","0.39","0.05","3.7","0.001","1.4"
"North Western","NM2","2019-11-11","1","Bottom Water","0.7","0.049","5.7","103","7","2","3","0.045","0.041","0.005","7.9","3.1","32.7","2.3","0.53","5.9","25.7","0.14","0.3","0.39","0.05","3.9","0.002","1.7"
"North Western","NM2","2019-12-13","1","Surface Water","0.3","0.11","0.8","83","6.2","250","440","0.077","0.033","0.01","8.1","1.7","33.4","1.8","1.1","15","20.4","0.22","0.34","0.45","0.06","6.5","0.004","1.7"
"North Western","NM2","2019-12-13","1","Middle Water","0.5","0.11","0.8","84","6.2","540","830","0.076","0.033","0.018","8.1","1.9","33.4","1.8","1.1","15","20.4","0.22","0.28","0.39","0.04","6.8","0.004","2"
"North Western","NM2","2019-12-13","1","Bottom Water","0.4","0.11","0.7","84","6.3","560","1200","0.072","0.032","0.016","8.1","4.1","33.4","1.8","1.1","29","20.4","0.21","0.38","0.48","0.12","9.8","0.004","3.2"
"North Western","NM3","2019-01-23","1","Surface Water","0.5","0.13","2.6","86","6.6","220","270","0.32","0.025","0.019","7.9","1.1","31.1","1.9","1.8","11","18.6","0.48","0.64","0.99","0.04","5.1","0.003","1.5"
"North Western","NM3","2019-01-23","1","Middle Water","0.4","0.13","1.3","91","7.1","190","390","0.31","0.023","0.027","7.9","0.9","31.1","1.9","1.8","18","18.6","0.46","0.65","0.98","0.04","6.2","0.003","2"
"North Western","NM3","2019-01-23","1","Bottom Water","0.3","0.13","2.4","90","7","240","350","0.31","0.024","0.017","7.9","0.4","31.2","1.9","1.9","17","18.6","0.46","0.89","1.22","0.04","5.9","0.003","2"
"North Western","NM3","2019-02-22","1","Surface Water","1.5","0.11","9","96","7.3","87","150","0.36","0.016","0.009","8","4","28.4","2.2","0.54","2.8","21.1","0.49","0.64","1.02","0.04","2.5","0.004","0.9"
"North Western","NM3","2019-02-22","1","Middle Water","0.9","0.1","1.5","101","7.6","75","100","0.34","0.016","0.014","8","5","28.5","2.2","0.51","3.2","21.1","0.46","0.45","0.81","0.03","1.7","0.003","1"
"North Western","NM3","2019-02-22","1","Bottom Water","1","0.1","2.8","96","7.2","86","120","0.31","0.013","0.008","7.9","4","29.2","2.2","0.49","3.6","20.9","0.42","0.51","0.83","0.03","2.4","0.003","1"
"North Western","NM3","2019-03-04","1","Surface Water","0.9","0.08","8","101","7.8","4","17","0.66","0.031","0.013","8.2","3.1","24.7","3.5","1.2","1.9","21.3","0.77","0.39","1.08","0.03","1","0.004","0.8"
"North Western","NM3","2019-03-04","1","Middle Water","1.8","0.042","20","119","9","10","19","0.35","0.019","0.006","8.2","2.7","28.2","3.5","0.38","3","21","0.41","0.51","0.88","0.03","0.8","0.002","1.4"
"North Western","NM3","2019-03-04","1","Bottom Water","1.2","0.044","25","108","8.1","91","110","0.3","0.017","0.008","8.1","2.8","30.1","3.5","0.26","4.3","20.6","0.36","0.48","0.8","0.03","0.8","0.002","2.2"
"North Western","NM3","2019-04-03","1","Surface Water","0.4","0.17","0.5","82","6","110","230","0.56","0.033","0.022","7.8","0.2","26.5","2.6","2","7.7","22.8","0.76","0.4","0.99","0.03","2.4","0.005","1.7"
"North Western","NM3","2019-04-03","1","Middle Water","0.5","0.13","0.4","75","5.5","70","260","0.33","0.02","0.022","7.8","<0.2","28.9","2.6","1.5","6.9","22.5","0.48","0.36","0.71","0.03","1.8","0.003","1.4"
"North Western","NM3","2019-04-03","1","Bottom Water","0.5","0.13","0.7","82","6","230","370","0.25","0.014","0.015","7.9","0.7","31","2.6","1.2","7.7","22.3","0.39","0.29","0.55","0.03","1.7","0.003","1.5"
"North Western","NM3","2019-05-15","1","Surface Water","1.2","0.033","8.4","101","7.2","70","170","0.6","0.033","0.005","7.8","5.9","23.1","2.3","1.6","14","26","0.67","0.26","0.89","0.03","4.4","0.001","3.7"
"North Western","NM3","2019-05-15","1","Middle Water","0.7","0.08","2","92","6.5","90","150","0.35","0.027","0.013","7.7","2.4","25","2.3","1.1","13","25.4","0.46","0.26","0.64","0.03","3.3","0.002","3.4"
"North Western","NM3","2019-05-15","1","Bottom Water","0.9","0.079","2","85","6","150","250","0.25","0.016","0.008","7.7","1.6","29.7","2.3","0.86","15","24.5","0.35","0.28","0.55","0.03","3.8","0.002","2.5"
"North Western","NM3","2019-06-20","1","Surface Water","0.8","0.09","8.7","65","4.6","240","930","0.86","0.064","0.012","7.5","0.7","15.9","2.1","5.1","6.4","28.6","1.01","0.54","1.46","0.05","2.9","0.002","1.3"
"North Western","NM3","2019-06-20","1","Middle Water","0.5","0.1","1.7","73","5.2","300","650","0.6","0.059","0.028","7.5","<0.2","18.4","2.1","3.9","13","27.9","0.76","0.53","1.19","0.04","5.8","0.002","2.2"
"North Western","NM3","2019-06-20","1","Bottom Water","0.6","0.13","2","57","3.9","340","700","0.55","0.055","0.019","7.5","<0.2","27","2.1","3.5","19","27.2","0.74","0.59","1.2","0.05","10.7","0.002","3.1"
"North Western","NM3","2019-07-03","1","Surface Water","0.8","0.03","9.4","73","4.9","81","280","0.39","0.044","0.014","8.7","4.5","17.4","1.9","3.4","7.7","32","0.46","0.08","0.51","0.02","15.5","0.009","1.7"
"North Western","NM3","2019-07-03","1","Middle Water","0.5","0.047","7.7","68","4.5","29","82","0.44","0.041","0.014","8.6","3.2","19","1.9","3.2","6.4","31.9","0.53","0.14","0.62","0.03","9.3","0.011","1.4"
"North Western","NM3","2019-07-03","1","Bottom Water","0.8","0.094","5.6","48","3.1","410","2800","0.31","0.031","0.015","8.6","4.1","23.2","1.9","1.5","6.6","30.7","0.44","0.23","0.57","0.03","12.1","0.02","1.5"
